CODIGO_SINIESTRO,FECHA_SINIESTRO,HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_FALLECIDOS,CANTIDAD_LESIONADOS,CANTIDAD_VEHICULOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO_VIA,RED_VIAL,COD_CARRETERA,LATITUD,LONGITUD,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_VIA,PERFIL_VIA,SUPERFICIE_CALZADA,EXISTE_SENIAL_VERTICAL,CLASIFICACION_SENIAL_VERTICAL_1,CLASIFICACION_SENIAL_VERTICAL_2,EXISTE_SENIAL_HORIZONTAL,CAUSA_FACTOR_PRINCIPAL,CAUSA_ESPECIFICA,HORA,severidad,ANIO,MES,DIA_SEMANA,FIN_SEMANA,FRANJA_HORARIA,TEMPORADA,MACROREGION,TIPO_VIA_SCORE,PERFIL_VIA_SCORE,SUPERFICIE_CALZADA_SCORE,RIESGO_INFRAESTRUCTURA,RIESGO_CLIMATICO,SENIALIZACION_DEFICIENTE,EDAD_PROMEDIO,EDAD_STD,TOTAL_ALCOHOL,TOTAL_LICENCIA,TOTAL_PERSONAS,PCT_ALCOHOL,PCT_LICENCIA,ES_NOCHE
A-2021-09-217,2021-09-29,10:30,DESPISTE,1,0,1,JUNIN,JAUJA,PARCO,RURAL,CALLE,URBANO,NO CORRESPONDE,-11.820974,-75.507486,DESPEJADO,RURAL,PASE A DESNIVEL,INCLINADA,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),10.0,0,2021.0,9.0,2.0,0,1,3,1,2.0,1.0,2.0,5.0,0,0,38.0,18.384776310850235,0,1,2,0.0,0.5,0
A-2021-09-224,2021-09-29,12:00,ATROPELLO,1,0,0,LIMA,LIMA,LIMA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.062737737424804,-77.04355287372726,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,12.0,0,2021.0,9.0,2.0,0,2,3,0,1.0,0.0,0.0,1.0,0,0,49.5,12.020815280171307,0,0,2,0.0,0.0,0
A-2021-09-265,2021-09-29,15:06,CHOQUE,1,0,2,CAJAMARCA,JAEN,JAEN,URBANA,OTRO,URBANO,NO CORRESPONDE,-5.703239,-78.807528,DESPEJADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,CONCRETO,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,15.0,0,2021.0,9.0,2.0,0,2,3,1,2.0,0.0,0.0,2.0,0,0,16.5,0.7071067811865476,0,0,2,0.0,0.0,0
A-2021-09-223,2021-09-29,20:00,CHOQUE,1,0,0,LIMA,LIMA,LURIN,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.275765644225062,-76.87090862740266,SOLEADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,20.0,0,2021.0,9.0,2.0,0,3,3,0,1.0,0.0,0.0,1.0,0,0,40.5,9.192388155425117,0,0,2,0.0,0.0,1
A-2021-09-226,2021-09-30,00:48,CHOQUE CON OBJETO FIJO,1,1,1,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.951160927516437,-77.05056302644783,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,0.0,0,2021.0,9.0,3.0,0,0,3,0,1.0,0.0,0.0,1.0,0,0,34.0,0.0,0,0,2,0.0,0.0,1
A-2021-09-237,2021-09-30,05:00,DESPISTE,1,3,1,AYACUCHO,LA MAR,CHUNGUI,RURAL,CARRETERA,DEPARTAMENTAL,AY-102,-13.216081,-73.634727,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,5.0,0,2021.0,9.0,3.0,0,0,3,1,0.0,1.0,0.0,1.0,0,0,33.75,16.740669042783207,0,1,4,0.0,0.25,1
A-2021-09-275,2021-09-30,06:00,VOLCADURA,1,0,1,SAN MARTIN,PICOTA,SAN HILARION,RURAL,CARRETERA,NACIONAL,PE-5N,-6.99929,-76.44187,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN,6.0,0,2021.0,9.0,3.0,0,1,3,2,0.0,0.0,0.0,0.0,0,1,18.0,0.0,1,0,1,1.0,0.0,0
A-2021-09-213,2021-09-30,11:20,CHOQUE,1,3,2,CAJAMARCA,CONTUMAZA,YONAN,RURAL,CARRETERA,NACIONAL,PE-08,-7.23926398,-79.22229602,SOLEADO,RURAL,TRAMO RECTO,PLANA ,AFIRMADO,NO,,,NO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,11.0,0,2021.0,9.0,3.0,0,1,3,1,0.0,0.0,1.0,1.0,0,2,48.0,32.67414880299103,1,2,6,0.167,0.333,0
A-2021-09-230,2021-09-30,18:45,CHOQUE,1,0,2,PUNO,LAMPA,CALAPUJA,RURAL,CARRETERA,NACIONAL,PE-3S,-15.3458064,-70.1807105,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,CONDUCIR EN SENTIDO CONTRARIO,18.0,0,2021.0,9.0,3.0,0,3,3,1,0.0,0.0,0.0,0.0,0,0,40.0,8.48528137423857,0,2,2,0.0,1.0,1
A-2021-09-227,2021-09-30,21:00,ATROPELLO,1,0,1,PUNO,SAN ROMAN,JULIACA,URBANA,CARRETERA,NACIONAL,PE-3S,-15.4634461,-70.1389322,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA,21.0,0,2021.0,9.0,3.0,0,3,3,1,0.0,0.0,0.0,0.0,0,0,31.0,12.727922061357855,0,1,2,0.0,0.5,1
A-2021-10-237,2021-10-01,18:55,CHOQUE,1,0,0,CAJAMARCA,JAEN,JAEN,RURAL,CARRETERA,NACIONAL,PE-5N,-5.832726,-78.748357,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,18.0,0,2021.0,10.0,4.0,0,3,3,1,0.0,1.0,0.0,1.0,0,0,37.0,11.313708498984761,0,1,2,0.0,0.5,1
A-2021-10-254,2021-10-01,19:30,CHOQUE,1,0,2,LIMA,BARRANCA,SUPE,RURAL,CARRETERA,NACIONAL,PE-1N,-10.856982110062484,-77.69072533603766,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,19.0,0,2021.0,10.0,4.0,0,3,3,0,0.0,0.0,0.0,0.0,0,0,47.0,12.727922061357855,0,1,2,0.0,0.5,1
A-2021-10-40,2021-10-01,19:30,ATROPELLO FUGA,1,0,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.98678826956822,-77.01574397392685,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,19.0,0,2021.0,10.0,4.0,0,3,3,0,1.0,0.0,0.0,1.0,0,0,65.0,0.0,0,0,1,0.0,0.0,1
A-2021-10-279,2021-10-01,21:00,CHOQUE,1,0,2,ANCASH,SANTA,SANTA,URBANA,CARRETERA,NACIONAL,PE-1N,-8.998258205771755,-78.61797806714192,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,21.0,0,2021.0,10.0,4.0,0,3,3,0,0.0,0.0,0.0,0.0,0,0,31.5,9.192388155425117,0,1,2,0.0,0.5,1
A-2021-10-70,2021-10-01,21:40,DESPISTE,3,1,1,LA LIBERTAD,PATAZ,PIAS,URBANA,CARRETERA,PROVINCIAL,LI-865,-7.89231008535038,-77.56053383383959,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,TROCHA,,,,,IMPRUDENCIA DEL CONDUCTOR,ADELANTAR INDEBIDAMENTE,21.0,2,2021.0,10.0,4.0,0,3,3,0,0.0,0.0,2.0,2.0,0,0,37.0,18.743887892679396,0,1,4,0.0,0.25,1
A-2021-10-2,2021-10-02,02:00,DESPISTE,5,25,1,HUANCAVELICA,HUAYTARA,TAMBO,RURAL,CARRETERA,NACIONAL,PE-28A,-13.5020815314854,-75.1389084543188,DESPEJADO,RURAL,SINUOSA,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2.0,2,2021.0,10.0,5.0,1,0,3,1,0.0,0.0,0.0,0.0,0,0,40.06666666666667,17.610602866833755,0,1,30,0.0,0.033,1
